,배우,작품,작품 개수
0,나인우,[' 철인왕후 '],1
1,김주현,"[' 날아라 개천용 ', ' 부잣집 아들 ', ' 언니는 살아있다 ']",3
2,장희진,"[' 옷소매 붉은 끝동 ', ' 악의 꽃 ', ' 바벨 ', ' 당신은 너무합니다 ']",4
3,진경,"[' 루카 : 더 비기닝 ', ' 오! 삼광빌라! ']",2
4,이민호,[' 더 킹 : 영원의 군주 '],1
5,원진아,"[' 선배, 그 립스틱 바르지 마요 ', ' 날 녹여주오 ', ' 라이프 ', ' 그냥 사랑하는 사이 ']",4
6,이도현,"[' 멜랑꼴리아 ', ' 오월의 청춘 ', ' 18 어게인 ', ' KBS 드라마 스페셜 2019 ']",4
7,주원,"[' 앨리스 ', ' 엽기적인 그녀 ']",2
8,서현,"[' 괴기맨숀:디 오리지널 ', ' 너는 나의 봄 ', ' 사생활 ', ' 악의 꽃 ', ' 그놈이 그놈이다 ', ' 안녕 드라큘라 ', ' 블랙독 ', ' 99억의 여자 ', ' 막돼먹은 영애씨 시즌17 ', ' 뷰티 인사이드 ']",10
9,안희연,[' 엑스엑스(XX) '],1
10,나문희,[' 나빌레라 '],1
11,지창욱,"[' 편의점 샛별이 ', ' 날 녹여주오 ', ' 수상한 파트너 ']",3
12,진세연,"[' 본 어게인 ', ' 간택 - 여인들의 전쟁 ', ' 아이템 ', ' 고품격 짝사랑 ', ' 대군-사랑을 그리다 ']",5
13,고수,"[' 미씽: 그들이 있었다 ', ' 머니게임 ', ' 흉부외과:심장을 훔친 의사들 ', ' 마녀의 사랑 ']",4
14,정일우,"[' 보쌈-운명을 훔치다 ', ' 야식남녀 ', ' 해치 ', ' 고품격 짝사랑 ']",4
15,김재욱,"[' 크레이지 러브 ', ' 그녀의 사생활 ', ' 손 the guest ', ' 사랑의 온도 ']",4
16,김재영,"[' 너를 닮은 사람 ', ' 사랑은 뷰티풀 인생은 원더풀 ', ' 시크릿 부티크 ', ' 은주의 방 ']",4
17,임수정,"[' 멜랑꼴리아 ', ' 검색어를 입력하세요 WWW ', ' 시카고 타자기 ']",3
18,김요한,[' 학교 2021 '],1
19,임시완,"[' 트레이서 ', ' 런 온 ', ' 타인은 지옥이다 ', ' 왕은 사랑한다 ']",4
20,이수혁,"[' 내일 ', ' 어느 날 우리 집 현관으로 멸망이 들어왔다 ', ' 본 어게인 ']",3
21,황정음,"[' 그놈이 그놈이다 ', ' 쌍갑포차 ', ' 훈남정음 ']",3
22,손병호,"[' 암행어사: 조선비밀수사단 ', ' 허쉬 ', ' 모범형사 ', ' 웰컴2라이프 ']",4
23,송중기,"[' 빈센조 ', ' 아스달 연대기 ']",2
24,이성재,"[' 쇼윈도:여왕의 집 ', ' 검사내전 ', ' 어비스 ', ' 이별이 떠났다 ']",4
25,박해진,"[' 꼰대인턴 ', ' 포레스트 ', ' 맨투맨 ']",3
26,송종호,"[' 우리, 사랑했을까 ']",1
27,서현진,"[' 너는 나의 봄 ', ' 블랙독 ', ' 뷰티 인사이드 ', ' 사랑의 온도 ']",4
28,김유정,"[' 홍천기 ', ' 편의점 샛별이 ', ' 일단 뜨겁게 청소하라 ']",3
29,오연서,"[' 하자있는 인간들 ', ' 화유기 ', ' 엽기적인 그녀 ']",3
30,정경호,"[' 슬기로운 의사생활2 ', ' 슬기로운 의사생활 ', ' 악마가 너의 이름을 부를 때 ', ' 라이프 온 마스 ', ' 슬기로운 감빵생활 ']",5
31,권상우,"[' 날아라 개천용 ', ' 추리의 여왕 시즌2 ', ' 추리의 여왕 ']",3
32,남주혁,"[' 스물다섯 스물하나 ', ' 스타트업 ', ' 눈이 부시게 ', ' 하백의 신부 ']",4
33,김도훈,"[' 목표가 생겼다 ', ' 다크홀 ']",2
34,정상훈,"[' 바람피면 죽는다 ', ' 번외수사 ', ' 빅 포레스트 ', ' 데릴남편 오작두 ']",4
35,권율,"[' 달리와 감자탕 ', ' 해치 ', ' 귓속말 ']",3
36,조병규,"[' 경이로운 소문 ', ' 스토브리그 ']",2
37,노종현,[' 라이브온 '],1
38,로운,"[' 내일 ', ' 연모 ', ' 선배, 그 립스틱 바르지 마요 ', ' 어쩌다 발견한 하루 ', ' 훈장 오순남 ']",5
39,조우진,"[' 해피니스 ', ' 드라마 스테이지 ']",2
40,박서준,"[' 이태원 클라쓰 ', ' 김비서가 왜 그럴까 ', ' 쌈, 마이웨이 ']",3
41,하준,"[' 배드 앤 크레이지 ', ' 하이클래스 ', ' 불새 2020 ', ' 18 어게인 ', ' 미씽: 그들이 있었다 ', ' 시네마틱 드라마 SF8 ', ' 블랙독 ']",7
42,윤상현,"[' 18 어게인 ', ' 손 꼭 잡고, 지는 석양을 바라보자 ']",2
43,신민아,"[' 갯마을 차차차 ', ' 보좌관2 - 세상을 움직이는 사람들 ', ' 보좌관 ']",3
44,최희서,"[' 지금, 헤어지는 중입니다 ', ' 빅 포레스트 ']",2
45,장동윤,"[' 조선구마사 ', ' 써치 ', ' 조선로코 녹두전 ', ' 시를 잊은 그대에게 ', ' 2017 KBS 드라마스페셜 ', ' 학교2017 ']",6
46,최원영,"[' 꽃 피면 달 생각하고 ', ' 너를 닮은 사람 ', ' 나의 위험한 아내 ', ' 앨리스 ', ' 쌍갑포차 ', ' KBS 드라마 스페셜 2019 ', ' 닥터 프리즈너 ', ' SKY 캐슬 ']",8
47,이연희,"[' 시네마틱 드라마 SF8 ', ' 더 게임:0시를 향하여 ', ' 더 패키지 ', ' 다시 만난 세계 ']",4
48,김민정,"[' 악마판사 ', ' 국민 여러분! ', ' 미스터 션샤인 ', ' 맨투맨 ']",4
49,신승호,"[' 계약우정 ', ' 열여덟의 순간 ']",2
50,문채원,"[' 악의 꽃 ', ' 계룡선녀전 ', ' 크리미널마인드 ']",3
51,진영,"[' 불가살 ', ' 경찰수업 ', ' 악마판사 ', ' 아는 건 별로 없지만 가족입니다 ', ' 화양연화 - 삶이 꽃이 되는 순간 ']",5
52,이주빈,"[' 드라마 스테이지 2021 ', ' 선배, 그 립스틱 바르지 마요 ', ' 안녕 드라큘라 ']",3
53,이서진,"[' 타임즈 ', ' 트랩 ']",2
54,이혜리,[' 청일전자 미쓰리 '],1
55,오정세,"[' 엉클 ', ' 지리산 ', ' 모범형사 ', ' 사이코지만 괜찮아 ', ' 동백꽃 필 무렵 ']",5
56,박해준,[' 부부의 세계 '],1
57,정지소,"[' 이미테이션 ', ' 방법 ']",2
58,이진욱,"[' 불가살 ', ' 보이스 시즌3 ', ' 보이스 시즌2 ', ' 리턴 ']",4
59,혜리,"[' 꽃 피면 달 생각하고 ', ' 간 떨어지는 동거 ', ' 청일전자 미쓰리 ', ' 투깝스 ']",4
60,전지현,[' 지리산 '],1
61,성동일,"[' 지리산 ', ' 어쩌다 가족 ', ' 어쩌다 가족 ', ' 방법 ', ' 트랩 ', ' 친애하는 판사님께 ', ' 미스 함무라비 ']",7
62,송승헌,"[' 보이스 4 ', ' 저녁 같이 드실래요 ', ' 위대한 쇼 ', ' 플레이어 ', ' 블랙 ', ' 사임당,빛의 일기 ']",6
63,손호준,"[' 우리, 사랑했을까 ', ' 눈이 부시게 ', ' 내 뒤에 테리우스 ', ' 고백부부 ', ' 드라마스페셜-만나게해,주오 ']",5
64,김희선,"[' 내일 ', ' 앨리스 ', ' 나인룸 ', ' 품위있는 그녀 ']",4
65,이재욱,"[' 도도솔솔라라솔 ', ' 날씨가 좋으면 찾아가겠어요 ', ' 어쩌다 발견한 하루 ']",3
66,유다인,[' 출사표 '],1
67,김영대,[' 바람피면 죽는다 '],1
68,신하균,"[' 괴물 ', ' 영혼수선공 ', ' 나쁜형사 ']",3
69,안보현,"[' 군검사 도베르만 ', ' 유미의 세포들 ', ' 카이로스 ', ' 그녀의 사생활 ']",4
70,위하준,"[' 배드 앤 크레이지 ', ' 18 어게인 ']",2
71,배인혁,"[' 멀리서 보면 푸른 봄 ', ' 간 떨어지는 동거 ', ' 나를 사랑한 스파이 ', ' 엑스엑스(XX) ']",4
72,수영,"[' 목표가 생겼다 ', ' 아이를 찾습니다 ', ' 런 온 ', ' 본 대로 말하라 ', ' 슬플 때 사랑한다 ']",5
73,허준호,"[' 언더커버 ', ' 미씽: 그들이 있었다 ', ' 60일, 지정생존자 ', ' 이리와 안아줘 ', ' 군주-가면의 주인 ']",5
74,박보영,"[' 어느 날 우리 집 현관으로 멸망이 들어왔다 ', ' 어비스 ']",2
75,윤세아,"[' 설강화 : snowdrop ', ' 더 로드 : 1의 비극 ', ' KBS 드라마 스페셜 2020 ', ' 비밀의 숲 2 ', ' 날 녹여주오 ', ' SKY 캐슬 ']",6
76,김성철,"[' 그 해 우리는 ', ' 브람스를 좋아하세요? ', ' 바람이 분다 ', ' 투 제니(TO.JENNY) ', ' 슬기로운 감빵생활 ']",5
77,이신영,[' 계약우정 '],1
78,라미란,"[' 블랙독 ', ' 막돼먹은 영애씨 시즌17 ', ' 부암동 복수자들 ']",3
79,하석진,"[' 내가 가장 예뻤을 때 ', ' 당신의 하우스헬퍼 ']",2
80,김환희,"[' 목표가 생겼다 ', ' 날씨가 좋으면 찾아가겠어요 ']",2
81,강하늘,"[' 달이 뜨는 강 ', ' 동백꽃 필 무렵 ']",2
82,추자현,"[' 아는 건 별로 없지만 가족입니다 ', ' 아름다운 세상 ']",2
83,김강우,"[' 공작도시 ', ' 99억의 여자 ', ' 아이템 ', ' 옥란면옥 ', ' 데릴남편 오작두 ', ' 써클 : 이어진 두 세계 ']",6
84,김서형,"[' 마인 ', ' 아무도 모른다 ']",2
85,김혜준,"[' 구경이 ', ' 십시일반 ']",2
86,권화운,[' 이벤트를 확인하세요 '],1
87,문가영,"[' 여신강림 ', ' 그 남자의 기억법 ', ' 으라차차 와이키키 시즌2 ', ' 위대한 유혹자 ', ' 드라마 스페셜 - 혼자 추는 왈츠 ']",5
88,고경표,"[' 사생활 ', ' 크로스 ', ' 최강배달꾼 ', ' 시카고 타자기 ']",4
89,추영우,"[' 학교 2021 ', ' 경찰수업 ']",2
90,공명,"[' 홍천기 ', ' 행복의 진수 ', ' 멜로가 체질 ', ' 죽어도 좋아 ', ' 변혁의 사랑 ', ' 개인주의자 지영씨 ']",6
91,이규형,"[' 하이바이, 마마! ', ' 의사요한 ', ' 슬기로운 감빵생활 ']",3
92,김희애,[' 부부의 세계 '],1
93,이지아,"[' 펜트하우스3 ', ' 펜트하우스2 ', ' 펜트하우스 ', ' 오늘의 탐정 ']",4
94,김지은,[' 검은 태양 '],1
95,조한선,[' 미쓰리는 알고 있다 '],1
96,김명민,"[' 로스쿨 ', ' 우리가 만난 기적 ', ' 다시 만나는 하얀거탑UHD ']",3
97,한예리,"[' 홈타운 ', ' 아는 건 별로 없지만 가족입니다 ', ' 녹두꽃 ', ' 스위치 - 세상을 바꿔라 ', ' 청춘시대2 ']",5
98,최강희,"[' 안녕? 나야! ', ' 굿캐스팅 ', ' 2018 KBS 드라마 스페셜 ', ' 추리의 여왕 시즌2 ', ' 추리의 여왕 ']",5
99,김의성,"[' 모범택시 ', ' 국민 여러분! ']",2
100,김현주,"[' 언더커버 ', ' WATCHER (왓쳐) ', ' 우리가 만난 기적 ']",3
101,박성훈,"[' KBS 드라마 스페셜 2021 ', ' 조선구마사 ', ' 출사표 ', ' 싸이코패스 다이어리 ', ' 저스티스 ', ' 2018 KBS 드라마 스페셜 ']",6
102,배수지,"[' 스타트업 ', ' 배가본드 ', ' 당신이 잠든 사이에 ']",3
103,김동욱,"[' 너는 나의 봄 ', ' 그 남자의 기억법 ', ' 특별근로감독관 조장풍 ', ' 손 the guest ']",4
104,강한나,"[' 간 떨어지는 동거 ', ' 스타트업 ', ' 드라마 스테이지 2020 ', ' 60일, 지정생존자 ', ' 아는 와이프 ']",5
105,이엘리야,"[' 모범형사 ', ' 보좌관2 - 세상을 움직이는 사람들 ', ' 보좌관 ']",3
106,문정혁,[' 나를 사랑한 스파이 '],1
107,안재현,[' 하자있는 인간들 '],1
108,진서연,"[' 원 더 우먼 ', ' 본 대로 말하라 ']",2
109,조보아,"[' 군검사 도베르만 ', ' 구미호뎐 ', ' 포레스트 ', ' 복수가 돌아왔다 ', ' 이별이 떠났다 ', ' 드라마스페셜-만나게해,주오 ']",6
110,신소율,"[' 트레인 ', ' 빅이슈 ', ' 단짠 오피스 ']",3
111,유인나,"[' 설강화 : snowdrop ', ' 나를 사랑한 스파이 ', ' 진심이 닿다 ']",3
112,한지은,"[' 배드 앤 크레이지 ', ' 꼰대인턴 ', ' 멜로가 체질 ']",3
113,김슬기,"[' 하자있는 인간들 ', ' 파수꾼 ']",2
114,이상윤,"[' 원 더 우먼 ', ' VIP ', ' 멈추고 싶은 순간 : 어바웃 타임 ', ' 귓속말 ']",4
115,황정민,[' 허쉬 '],1
116,안소희,"[' 서른, 아홉 ', ' 드라마 스테이지 2021 ', ' 미씽: 그들이 있었다 ', ' 으라차차 와이키키 시즌2 ']",4
117,현빈,"[' 너를 닮은 사람 ', ' 슬기로운 의사생활2 ', ' 사랑의 불시착 ', ' 자백 ', ' 알함브라 궁전의 추억 ', ' 미스트리스 ']",6
118,유재명,"[' 홈타운 ', ' 빈센조 ', ' 이태원 클라쓰 ', ' 자백 ', ' 탁구공 ', ' 라이프 ']",6
119,이준,"[' 불가살 ', ' 옷소매 붉은 끝동 ', ' 너의 밤이 되어줄게 ', ' 해피니스 ', ' 이미테이션 ', ' 다크홀 ', ' 제발 그 남자 만나지 마요 ', ' 비밀의 숲 2 ']",8
120,정려원,"[' 검사내전 ', ' 기름진 멜로 ', ' 마녀의 법정 ']",3
