,Unnamed: 0,방송일자,채널명,프로그램시작시간,프로그램종료시간,프로그램명,방송회차명,프로그램장르소분류명,출연진내용,장르1,장르2,가구평균시청률(%),게시글수,댓글수,동영상조회(K)
0,0,20210402,SBS,22,223547,펜트하우스2,13회,미니시리즈,"유진,김소연,이지아",범죄,스릴러,20.63333333,18210.0,167850.75,35095.5
1,1,20200106,SBS,21,221518,낭만닥터김사부2,1회,미니시리즈,"한석규,안효섭,이성경",의학,,17.35,12662.0,68780.66666666667,11238.0
2,2,20210702,SBS,22,232719,펜트하우스3,5회,미니시리즈,"유진,김소연,이지아",범죄,스릴러,15.725,9340.8,84294.8,22316.6
3,3,20201026,SBS,22,225024,펜트하우스,1회,미니시리즈,"이지아,김소연,유진",범죄,스릴러,14.2,35886.0,166134.0,29736.25
4,4,20200111,tvN,21,223618,사랑의불시착,7회,미니시리즈,"현빈,손예진,서지혜",로맨스,,14.05,41127.5,257462.0,44437.5
5,5,20200103,SBS,22,223426,스토브리그,6회,미니시리즈,"남궁민,박은빈,오정세",스포츠,,13.25,33935.5,125258.0,11750.0
6,6,20200402,JTBC,22,241856,부부의세계,1회,미니시리즈,"김희애,박해준,한소희",미스터리,로맨스,12.83333333,37923.66666666666,262790.0,36026.33333333334
7,7,20210917,SBS,21,230347,원더우먼,1회,미니시리즈,"이하늬,이하늬,이상윤",로맨스,코미디,11.83333333,2822.5,14261.0,10107.0
8,8,20210409,SBS,22,223735,모범택시,1회,미니시리즈,"이제훈,이솜,김의성",액션,,11.8,3486.0,25273.33333333333,7556.333333333333
9,9,20201212,tvN,21,223004,철인왕후,1회,미니시리즈,"신혜선,김정현,배종옥",사극,,10.5,11274.25,67223.0,23922.0
10,10,20200319,tvN,21,223557,슬기로운의사생활,2회,미니시리즈,"조정석,유연석,정경호",의학,로맨스,10.1,15703.75,89514.5,12528.5
11,11,20210403,tvN,21,223016,빈센조,13회,미니시리즈,"송중기,전여빈,옥택연",액션,,9.975,8043.6,69834.0,12355.0
12,12,20200101,KBS2,22,222624,99억의여자,17회,미니시리즈,"조여정,김강우,정웅인",범죄,액션,8.7,1567.0,7483.0,1118.0
13,13,20200203,JTBC,22,240505,이태원클라쓰,1회,미니시리즈,"박서준,김다미,유재명",로맨스,청춘,8.366666667,28200.0,146823.3333333333,19042.66666666667
