,방송일자,채널명,프로그램시작시간,프로그램종료시간,프로그램명,방송회차명,프로그램장르소분류명,출연진내용,장르1,장르2,가구평균시청률(%)
0,20200101,KBS2,22,222624,99억의여자,17회,미니시리즈,"조여정,김강우,정웅인",범죄,액션,8.7
1,20200101,KBS2,22,230803,99억의여자,18회,미니시리즈,"조여정,김강우,정웅인",범죄,액션,8.7
2,20200101,MBC,21,220027,하자있는인간들,22회,미니시리즈,"오연서,안재현,김슬기",로맨스,,2.5
3,20200101,tvN,21,224540,싸이코패스다이어리,13회,미니시리즈,"윤시윤,정인선,박성훈",미스터리,추리,2.4
4,20200102,KBS2,22,222920,99억의여자,19회,미니시리즈,"조여정,김강우,정웅인",범죄,액션,8.7
5,20200102,KBS2,22,230409,99억의여자,20회,미니시리즈,"조여정,김강우,정웅인",범죄,액션,8.7
6,20200102,MBC,21,220020,하자있는인간들,24회,미니시리즈,"오연서,안재현,김슬기",로맨스,,2.5
7,20200102,tvN,21,225150,싸이코패스다이어리,14회,미니시리즈,"윤시윤,정인선,박성훈",미스터리,추리,2.4
8,20200102,OCN,22,235816,손THEGUEST,1회,미니시리즈,"김동욱,김재욱,정은채",판타지,미스터리,
9,20200103,SBS,22,223426,스토브리그,6회,미니시리즈,"남궁민,박은빈,오정세",스포츠,,13.25
10,20200103,SBS,22,223426,스토브리그,6회,미니시리즈,"남궁민,박은빈,오정세",스포츠,,13.25
11,20200103,SBS,22,230852,스토브리그,6회,미니시리즈,"남궁민,박은빈,오정세",스포츠,,13.25
12,20200103,SBS,22,230852,스토브리그,6회,미니시리즈,"남궁민,박은빈,오정세",스포츠,,13.25
13,20200104,SBS,22,223923,스토브리그,7회,미니시리즈,"남궁민,박은빈,오정세",스포츠,,13.25
14,20200104,SBS,22,223923,스토브리그,7회,미니시리즈,"남궁민,박은빈,오정세",스포츠,,13.25
15,20200104,SBS,22,230603,스토브리그,7회,미니시리즈,"남궁민,박은빈,오정세",스포츠,,13.25
16,20200104,SBS,22,230603,스토브리그,7회,미니시리즈,"남궁민,박은빈,오정세",스포츠,,13.25
17,20200106,SBS,21,221518,낭만닥터김사부2,1회,미니시리즈,"한석규,안효섭,이성경",의학,,17.35
18,20200106,SBS,21,221518,낭만닥터김사부2,1회,미니시리즈,"한석규,안효섭,이성경",의학,,17.35
19,20200106,SBS,22,224809,낭만닥터김사부2,1회,미니시리즈,"한석규,안효섭,이성경",의학,,17.35
20,20200106,SBS,22,224809,낭만닥터김사부2,1회,미니시리즈,"한석규,안효섭,이성경",의학,,17.35
21,20200106,JTBC,21,224027,검사내전,5회,미니시리즈,"이선균,정려원,이성재",법정,추리,3.5
22,20200106,JTBC,21,224027,검사내전,5회,미니시리즈,"이선균,정려원,이성재",법정,추리,3.5
23,20200106,tvN,21,224434,블랙독,7회,미니시리즈,"서현진,라미란,하준",휴먼,,4.4
24,20200106,tvN,21,224434,블랙독,7회,미니시리즈,"서현진,라미란,하준",휴먼,,4.4
25,20200107,SBS,21,221613,낭만닥터김사부2,2회,미니시리즈,"한석규,안효섭,이성경",의학,,17.35
26,20200107,SBS,21,221613,낭만닥터김사부2,2회,미니시리즈,"한석규,안효섭,이성경",의학,,17.35
27,20200107,SBS,22,225131,낭만닥터김사부2,2회,미니시리즈,"한석규,안효섭,이성경",의학,,17.35
28,20200107,SBS,22,225131,낭만닥터김사부2,2회,미니시리즈,"한석규,안효섭,이성경",의학,,17.35
29,20200107,JTBC,21,223951,검사내전,6회,미니시리즈,"이선균,정려원,이성재",법정,추리,3.5
30,20200107,JTBC,21,223951,검사내전,6회,미니시리즈,"이선균,정려원,이성재",법정,추리,3.5
31,20200107,tvN,21,224904,블랙독,8회,미니시리즈,"서현진,라미란,하준",휴먼,,4.4
32,20200107,tvN,21,224904,블랙독,8회,미니시리즈,"서현진,라미란,하준",휴먼,,4.4
33,20200108,KBS2,22,223210,99억의여자,21회,미니시리즈,"조여정,김강우,정웅인",범죄,액션,8.7
34,20200108,KBS2,22,230728,99억의여자,22회,미니시리즈,"조여정,김강우,정웅인",범죄,액션,8.7
35,20200108,MBC,21,220032,하자있는인간들,26회,미니시리즈,"오연서,안재현,김슬기",로맨스,,2.5
36,20200108,tvN,21,224500,싸이코패스다이어리,15회,미니시리즈,"윤시윤,정인선,박성훈",미스터리,추리,2.4
37,20200109,KBS2,21,222705,99억의여자,23회,미니시리즈,"조여정,김강우,정웅인",범죄,액션,8.7
38,20200109,KBS2,22,230259,99억의여자,24회,미니시리즈,"조여정,김강우,정웅인",범죄,액션,8.7
39,20200109,MBC,21,220030,하자있는인간들,28회,미니시리즈,"오연서,안재현,김슬기",로맨스,,2.5
40,20200109,tvN,21,224425,싸이코패스다이어리,16회,미니시리즈,"윤시윤,정인선,박성훈",미스터리,추리,2.4
