프로그램명,채널명,월간,게시글,댓글,동영상조회(K),뉴스,동영상
18 어게인,JTBC,808038.0,18624.0,142140.0,13885928.0,7557.0,691.0
365 : 운명을 거스르는 1년,MBC,606012.0,10234.0,44871.0,2272619.0,5623.0,718.0
99억의 여자,KBS2,202001.0,1567.0,7483.0,1118175.0,3527.0,203.0
IDOL (아이돌 : The Coup),JTBC,606333.0,1002.0,6936.0,927954.0,2588.0,517.0
KBS 드라마 스페셜 2020,KBS2,606033.0,1111.0,2686.0,267019.0,4131.0,248.0
간 떨어지는 동거,tvN,606318.0,7702.0,60472.0,34994343.0,6681.0,980.0
간택 - 여인들의 전쟁,TV CHOSUN,404003.0,4685.0,15265.0,4142057.0,2536.0,241.0
갯마을 차차차,tvN,606327.0,34459.0,240504.0,39924056.0,7189.0,1042.0
검사내전,JTBC,404003.0,4194.0,13614.0,2487131.0,3175.0,448.0
결혼작사 이혼작곡,TV CHOSUN,808407.0,5375.0,33534.0,8596729.0,10302.0,418.0
결혼작사 이혼작곡 시즌2,TV CHOSUN,808426.0,8280.0,30742.0,9468863.0,8064.0,375.0
경로를 이탈하였습니다,JTBC,404205.0,233.0,1309.0,170789.0,789.0,70.0
경이로운 소문,OCN,808225.0,69316.0,347459.0,44052840.0,15145.0,1593.0
경찰수업,KBS2,808434.0,5548.0,20542.0,3451047.0,7760.0,504.0
계약우정,KBS2,404007.0,1586.0,4520.0,228543.0,2445.0,128.0
고스트 닥터,tvN,202112.0,284.0,1271.0,249038.0,908.0,33.0
공작도시,JTBC,404223.0,2203.0,5791.0,4612280.0,2877.0,280.0
구경이,JTBC,606333.0,3569.0,12740.0,884028.0,5507.0,361.0
구미호뎐,tvN,808042.0,30761.0,212522.0,49918280.0,9586.0,1128.0
굿캐스팅,SBS,606015.0,4586.0,19238.0,5849145.0,8707.0,581.0
그 남자의 기억법,MBC,808014.0,25416.0,168670.0,10495462.0,8545.0,1088.0
그 해 우리는,SBS,404223.0,8578.0,51709.0,13217877.0,4409.0,288.0
그놈이 그놈이다,KBS2,808030.0,3986.0,17177.0,2756741.0,7165.0,497.0
꼰대인턴,MBC,606018.0,9432.0,97145.0,3793905.0,14780.0,483.0
꽃 피면 달 생각하고,KBS2,404223.0,1884.0,6657.0,842241.0,2956.0,152.0
나를 사랑한 스파이,MBC,808042.0,3088.0,6802.0,1260028.0,5451.0,597.0
나빌레라,tvN,606312.0,6912.0,36493.0,5443265.0,6325.0,708.0
나의 너에게,KBS1,202104.0,26.0,68.0,3108.0,117.0,0.0
나의 위험한 아내,MBN,606030.0,1179.0,2845.0,685247.0,4127.0,590.0
날씨가 좋으면 찾아가겠어요,JTBC,606009.0,11191.0,82994.0,11078417.0,5636.0,644.0
낭만닥터 김사부 2,SBS,606006.0,37986.0,206342.0,33714712.0,13180.0,644.0
낮과 밤,tvN,808225.0,5026.0,20656.0,9892271.0,10181.0,1064.0
내가 가장 예뻤을 때,MBC,808034.0,6306.0,29458.0,7598052.0,4522.0,661.0
너는 나의 봄,tvN,606321.0,8556.0,35264.0,7397122.0,7811.0,773.0
너를 닮은 사람,JTBC,808442.0,6220.0,21824.0,11937404.0,6102.0,587.0
너의 밤이 되어줄게,SBS,606333.0,2827.0,13904.0,494402.0,3102.0,164.0
달리와 감자탕,KBS2,808438.0,3283.0,16457.0,4831768.0,5200.0,457.0
달이 뜨는 강,KBS2,1010511.0,8748.0,111775.0,7176864.0,13101.0,596.0
대박부동산,KBS2,808418.0,4832.0,17841.0,3925219.0,6314.0,474.0
더 게임:0시를 향하여,MBC,606006.0,2540.0,10139.0,1154150.0,6683.0,1014.0
더 로드 : 1의 비극,tvN,606324.0,1663.0,3056.0,1505528.0,4606.0,566.0
도도솔솔라라솔,KBS2,808038.0,14118.0,77343.0,4046768.0,6010.0,556.0
두 번은 없다,MBC,606006.0,1003.0,4728.0,1042176.0,1281.0,480.0
드라마 스테이지 2020,tvN,404003.0,223.0,396.0,104188.0,383.0,190.0
드라마 스테이지 2021,tvN,606309.0,1203.0,10592.0,3264307.0,2162.0,467.0
라이브온,JTBC,1010235.0,6387.0,61664.0,10858688.0,6776.0,264.0
라켓소년단,SBS,808426.0,7360.0,44420.0,7245434.0,7568.0,640.0
러브씬넘버#,MBC,202102.0,112.0,166.0,29041.0,900.0,51.0
런 온,JTBC,1010327.0,33629.0,183801.0,13145281.0,12136.0,1039.0
로스쿨,JTBC,808418.0,6258.0,45049.0,10212280.0,6573.0,686.0
루갈,OCN,808014.0,3965.0,15596.0,2183691.0,4373.0,792.0
루왁인간,JTBC,202001.0,41.0,85.0,814.0,46.0,2.0
루카 : 더 비기닝,tvN,808407.0,4160.0,17640.0,6951806.0,8077.0,774.0
마녀식당으로 오세요,tvN,202112.0,12.0,11.0,0.0,2.0,0.0
마우스,tvN,808414.0,14597.0,101606.0,21665306.0,9605.0,1176.0
마인,tvN,606315.0,6872.0,37248.0,30535006.0,8439.0,1063.0
머니게임,tvN,606006.0,4423.0,27322.0,4516276.0,5669.0,723.0
