,방송일자,채널명,프로그램시작시간,프로그램종료시간,프로그램명,방송회차명,프로그램장르소분류명,출연진내용,총시청률,평균시청률,장르1,장르2
0,20200101,KBS2,22,222624,99억의여자,17회,미니시리즈,"조여정,김강우,정웅인",4.1174414285714285,3.675295044642857,범죄,액션
1,20200101,KBS2,22,230803,99억의여자,18회,미니시리즈,"조여정,김강우,정웅인",5.3128150000000005,3.675295044642857,범죄,액션
2,20200101,MBC,21,220027,하자있는인간들,22회,미니시리즈,"오연서,안재현,김슬기",1.5051450000000002,1.2737275,로맨스,
3,20200101,tvN,21,224540,싸이코패스다이어리,13회,미니시리즈,"윤시윤,정인선,박성훈",1.3904828571428571,1.6515901785714286,미스터리,추리
4,20200102,KBS2,22,222920,99억의여자,19회,미니시리즈,"조여정,김강우,정웅인",3.286443571428572,3.675295044642857,범죄,액션
5,20200102,KBS2,22,230409,99억의여자,20회,미니시리즈,"조여정,김강우,정웅인",3.729419285714286,3.675295044642857,범죄,액션
6,20200102,MBC,21,220020,하자있는인간들,24회,미니시리즈,"오연서,안재현,김슬기",1.3692842857142855,1.2737275,로맨스,
7,20200102,tvN,21,225150,싸이코패스다이어리,14회,미니시리즈,"윤시윤,정인선,박성훈",1.881027142857143,1.6515901785714286,미스터리,추리
8,20200102,OCN,22,235816,손THEGUEST,1회,미니시리즈,"김동욱,김재욱,정은채",0.2330442857142857,0.2330442857142857,판타지,미스터리
9,20200103,SBS,22,223426,스토브리그,6회,미니시리즈,"남궁민,박은빈,오정세",5.189817857142856,7.027899216589862,스포츠,
10,20200103,SBS,22,230852,스토브리그,6회,미니시리즈,"남궁민,박은빈,오정세",6.896261428571428,7.027899216589862,스포츠,
11,20200104,SBS,22,223923,스토브리그,7회,미니시리즈,"남궁민,박은빈,오정세",5.916684285714287,7.027899216589862,스포츠,
12,20200104,SBS,22,230603,스토브리그,7회,미니시리즈,"남궁민,박은빈,오정세",7.1987250000000005,7.027899216589862,스포츠,
13,20200106,SBS,21,221518,낭만닥터김사부2,1회,미니시리즈,"한석규,안효섭,이성경",5.576872857142858,9.248760432900433,의학,
14,20200106,SBS,22,224809,낭만닥터김사부2,1회,미니시리즈,"한석규,안효섭,이성경",7.416949285714287,9.248760432900433,의학,
15,20200106,JTBC,21,224027,검사내전,5회,미니시리즈,"이선균,정려원,이성재",1.5615235714285711,1.5268005357142858,법정,추리
16,20200106,tvN,21,224434,블랙독,7회,미니시리즈,"서현진,라미란,하준",1.83245,1.8721575000000001,휴먼,
17,20200107,SBS,21,221613,낭만닥터김사부2,2회,미니시리즈,"한석규,안효섭,이성경",6.932547857142857,9.248760432900433,의학,
18,20200107,SBS,22,225131,낭만닥터김사부2,2회,미니시리즈,"한석규,안효섭,이성경",9.440464285714285,9.248760432900433,의학,
19,20200107,JTBC,21,223951,검사내전,6회,미니시리즈,"이선균,정려원,이성재",1.641770714285714,1.5268005357142858,법정,추리
20,20200107,tvN,21,224904,블랙독,8회,미니시리즈,"서현진,라미란,하준",1.894425,1.8721575000000001,휴먼,
21,20200108,KBS2,22,223210,99억의여자,21회,미니시리즈,"조여정,김강우,정웅인",3.731254285714286,3.675295044642857,범죄,액션
22,20200108,KBS2,22,230728,99억의여자,22회,미니시리즈,"조여정,김강우,정웅인",4.361594285714286,3.675295044642857,범죄,액션
23,20200108,MBC,21,220032,하자있는인간들,26회,미니시리즈,"오연서,안재현,김슬기",1.051812857142857,1.2737275,로맨스,
24,20200108,tvN,21,224500,싸이코패스다이어리,15회,미니시리즈,"윤시윤,정인선,박성훈",1.5687185714285712,1.6515901785714286,미스터리,추리
25,20200109,KBS2,21,222705,99억의여자,23회,미니시리즈,"조여정,김강우,정웅인",2.6924957142857138,3.675295044642857,범죄,액션
26,20200109,KBS2,22,230259,99억의여자,24회,미니시리즈,"조여정,김강우,정웅인",3.2693921428571424,3.675295044642857,범죄,액션
