,방송일자,채널명,프로그램시작시간,프로그램종료시간,프로그램명,방송회차명,프로그램장르소분류명,출연진내용,장르1,장르2,가구평균시청률(%),출연진1,출생1,출연진2,출생2,출연진3,출생3
0,20210402,SBS,22,223547,펜트하우스2,13회,미니시리즈,"유진,김소연,이지아",범죄,스릴러,20.63333333,유진,1981,김소연,1980,이지아,1978
1,20200106,SBS,21,221518,낭만닥터김사부2,1회,미니시리즈,"한석규,안효섭,이성경",의학,,17.35,한석규,1964,안효섭,1995,이성경,1990
2,20210702,SBS,22,232719,펜트하우스3,5회,미니시리즈,"유진,김소연,이지아",범죄,스릴러,15.725,유진,1981,김소연,1980,이지아,1978
3,20201026,SBS,22,225024,펜트하우스,1회,미니시리즈,"이지아,김소연,유진",범죄,스릴러,14.2,이지아,1978,김소연,1980,유진,1981
4,20210805,tvN,21,223210,슬기로운의사생활시즌2,7회,미니시리즈,"조정석,유연석,정경호",의학,로맨스,14.1,조정석,1980,유연석,1984,정경호,1983
5,20200111,tvN,21,223618,사랑의불시착,7회,미니시리즈,"현빈,손예진,서지혜",로맨스,,14.05,현빈,1982,손예진,1982,서지혜,1984
6,20200902,KBS2,21,220407,동백꽃필무렵,1회,미니시리즈,"공효진,강하늘,김지석",미스터리,로맨스,13.9,공효진,1980,강하늘,1990,김지석,1981
7,20200103,SBS,22,223426,스토브리그,6회,미니시리즈,"남궁민,박은빈,오정세",스포츠,,13.25,남궁민,1978,박은빈,1992,오정세,1977
8,20200402,JTBC,22,241856,부부의세계,1회,미니시리즈,"김희애,박해준,한소희",미스터리,로맨스,12.83333333,김희애,1967,박해준,1976,한소희,1994
9,20210917,SBS,21,230347,원더우먼,1회,미니시리즈,"이하늬,진서연,이상윤",로맨스,코미디,11.83333333,이하늬,1983,진서연,1983,이상윤,1981
10,20210409,SBS,22,223735,모범택시,1회,미니시리즈,"이제훈,이솜,김의성",액션,,11.8,이제훈,1984,이솜,1990,김의성,1965
11,20201212,tvN,21,223004,철인왕후,1회,미니시리즈,"신혜선,김정현,배종옥",사극,,10.5,신혜선,1989,김정현,1990,배종옥,1964
12,20200319,tvN,21,223557,슬기로운의사생활,2회,미니시리즈,"조정석,유연석,정경호",의학,로맨스,10.1,조정석,1980,유연석,1984,정경호,1983
13,20210403,tvN,21,223016,빈센조,13회,미니시리즈,"송중기,전여빈,옥택연",액션,,9.975,송중기,1985,전여빈,1989,옥택연,1988
14,20200101,KBS2,22,222624,99억의여자,17회,미니시리즈,"조여정,김강우,정웅인",범죄,액션,8.7,조여정,1981,김강우,1978,정웅인,1971
15,20200203,JTBC,22,240505,이태원클라쓰,1회,미니시리즈,"박서준,김다미,유재명",로맨스,청춘,8.366666667,박서준,1988,김다미,1995,유재명,1973
16,20200427,SBS,21,222114,굿캐스팅,1회,미니시리즈,"최강희,이상엽,유인영",수사,,8.266666667,최강희,1977,이상엽,1983,유인영,1984
17,20210828,tvN,21,223007,갯마을차차차,1회,미니시리즈,"신민아,김선호,이상이",로맨스,,7.833333333,신민아,1984,김선호,1986,이상이,1991
18,20201221,KBS2,21,220647,암행어사조선비밀수사단,1회,미니시리즈,"김명수,권나라,이이경",사극,,7.766666667,김명수,1992,권나라,1991,이이경,1989
19,20211112,MBC,21,230302,옷소매붉은끝동,1회,미니시리즈,"이준호,이세영,강훈",사극,로맨스,7.7,이준호,1990,이세영,1992,강훈,1991
20,20210830,SBS,21,230711,홍천기,1회,미니시리즈,"안효섭,김유정,공명",판타지,사극,7.6,안효섭,1995,김유정,1999,공명,1994
21,20210405,KBS2,21,220440,달이뜨는강,15회,미니시리즈,"김소현,나인우,이지훈",사극,,7.5,김소현,1999,나인우,1994,이지훈,1988
22,20211011,KBS2,21,225039,연모,1회,미니시리즈,"박은빈,로운,남윤수",로맨스, 사극,7.466666667,박은빈,1992,로운,1996,남윤수,1997
23,20200417,SBS,22,223513,더킹영원의군주,1회,미니시리즈,"이민호,김고은,우도환",판타지,로맨스,7.233333333,이민호,1987,김고은,1991,우도환,1992
25,20211023,tvN,21,222659,지리산,1회,미니시리즈,"전지현,주지훈,성동일",미스터리,,6.866666667,전지현,1981,주지훈,1982,성동일,1964
26,20211220,KBS2,21,224640,꽃피면달생각하고,1회,미니시리즈,"유승호,이혜리,변우석",사극,로맨스,6.8,유승호,1993,이혜리,1994,변우석,1991
27,20200815,tvN,21,221333,비밀의숲2,1회,미니시리즈,"조승우,배두나,최무성",추리,,6.566666667,조승우,1980,배두나,1979,최무성,1968
28,20200907,tvN,21,221730,청춘기록,1회,미니시리즈,"박보검,박소담,변우석",로맨스,,6.5,박보검,1993,박소담,1991,변우석,1991
29,20210508,tvN,21,222139,마인,1회,미니시리즈,"이보영,김서형,이현욱",미스터리,,6.0,이보영,1979,김서형,1973,이현욱,1985
