주차,프로그램명,채널,요일,게시글(건수),댓글(건수),동영상조회(건수),뉴스(건수),동영상(건수),게시글(점유율%),댓글(점유율%),동영상조회(점유율%),뉴스(점유율%),동영상(점유율%),가구시청자수,2049시청자수,가구시청률(%),2049시청률(%)
202001,사랑은뷰티풀인생은원더풀,KBS2,토일,543,"2,158","735,273",192,58,1.1,0.6,1.5,0.6,1.3,"5,084,167","1,265,506",25.4,5.9
202001,두번은없다,MBC,토일,151,363,"96,398",210,56,0.3,0.1,0.2,0.6,1.3,"1,960,187","419,051",9.8,2
202001,싸이코패스다이어리,tvN,수목,566,"2,157","380,146",297,86,1.1,0.6,0.8,0.9,2,"426,877","273,127",2.1,1.3
202001,사랑의불시착,tvN,토일,"6,013","35,527","4,349,077","1,072",20,11.8,9.7,9.1,3.3,0.5,0,0,0,0
202001,99억의여자,KBS2,수목,496,"2,330","268,812","1,052",56,1,0.6,0.6,3.2,1.3,"1,868,895","605,172",9.4,2.8
202001,하자있는인간들,MBC,수목,200,"2,548","114,887",562,112,0.4,0.7,0.2,1.7,2.6,"535,721","226,529",2.7,1.1
202001,드라마스테이지2020,tvN,수목,74,182,"13,453",176,36,0.1,0,0,0.5,0.8,"184,028","78,464",0.9,0.4
202001,간택-여인들의전쟁,TVCHOSUN,토일,295,817,"144,110",229,37,0.6,0.2,0.3,0.7,0.8,"739,273","199,703",3.7,0.9
202001,검사내전,JTBC,월화,169,364,276,207,2,0.3,0.1,0,0.6,0,0,0,0,0
202001,블랙독,tvN,월화,671,"3,214","519,132",802,81,1.3,0.9,1.1,2.5,1.8,"981,972","600,298",5,2.8
202001,루왁인간,JTBC,월화,256,908,"83,864",765,51,0.5,0.2,0.2,2.4,1.2,"325,690","184,968",1.7,0.9
202001,낭만닥터김사부2,SBS,월화,643,"4,743","313,392",593,41,1.3,1.3,0.7,1.8,0.9,0,0,0,0
202001,머니게임,tvN,수목,70,163,"16,242",229,26,0.1,0,0,0.7,0.6,0,0,0,0
202001,더게임0시를향하여,MBC,수목,52,228,"11,180",253,4,0.1,0.1,0,0.8,0.1,0,0,0,0
202002,사랑은뷰티풀인생은원더풀,KBS2,토일,450,"2,865","753,351",276,58,0.7,0.7,1.3,0.7,1.2,"4,880,022","1,172,155",24.4,5.5
202002,두번은없다,MBC,토일,116,437,"104,724",140,55,0.2,0.1,0.2,0.3,1.1,"1,742,654","343,186",8.7,1.6
202002,싸이코패스다이어리,tvN,수목,797,"2,549","531,213",503,91,1.3,0.7,0.9,1.2,1.8,"554,426","377,516",2.8,1.8
202002,사랑의불시착,tvN,토일,"8,818","46,739","8,025,906","1,307",100,14.7,12.2,13.7,3.2,2,"2,029,901","1,388,220",10.2,6.5
202002,99억의여자,KBS2,수목,433,"2,196","295,644",882,49,0.7,0.6,0.5,2.1,1,"1,758,286","498,540",8.8,2.3
202002,하자있는인간들,MBC,수목,200,"1,512","269,656",459,109,0.3,0.4,0.5,1.1,2.2,"452,428","160,470",2.3,0.7
202002,드라마스테이지2020,tvN,수목,61,68,"13,060",73,39,0.1,0,0,0.2,0.8,"126,178","56,251",0.6,0.3
202002,간택-여인들의전쟁,TVCHOSUN,토일,508,"1,531","413,215",337,39,0.8,0.4,0.7,0.8,0.8,"732,668","236,728",3.7,1.1
202002,검사내전,JTBC,월화,734,"2,261","361,513",531,69,1.2,0.6,0.6,1.3,1.4,"722,591","307,810",3.6,1.4
202002,블랙독,tvN,월화,"1,191","5,781","1,111,180",678,93,2,1.5,1.9,1.6,1.9,"961,809","521,113",4.8,2.4
202002,낭만닥터김사부2,SBS,월화,"3,692","21,344","2,003,492","3,314",116,6.1,5.6,3.4,8,2.3,"2,651,210","1,166,321",13.3,5.4
202002,머니게임,tvN,수목,132,482,"9,871","1,380",40,0.2,0.1,0,3.3,0.8,0,0,0,0
202002,더게임0시를향하여,MBC,수목,73,176,"3,535",237,8,0.1,0,0,0.6,0.2,0,0,0,0
202002,본대로말하라,OCN,토일,76,255,"5,568",146,4,0.1,0.1,0,0.4,0.1,0,0,0,0
202003,사랑은뷰티풀인생은원더풀,KBS2,토일,686,"2,468","897,951",369,64,1.1,0.6,1.2,1,1.3,"5,248,330","1,310,240",26.3,6.1
202003,두번은없다,MBC,토일,148,631,"123,733",122,52,0.2,0.2,0.2,0.3,1,"1,930,758","354,106",9.7,1.7
202003,사랑의불시착,tvN,토일,"13,269","86,059","19,454,419","1,723",131,21.1,21.1,25.7,4.8,2.6,"2,544,238","1,700,723",12.7,7.9
202003,99억의여자,KBS2,수목,342,"1,270","240,825",726,46,0.5,0.3,0.3,2,0.9,"1,700,214","504,191",8.5,2.4
202003,하자있는인간들,MBC,수목,169,"1,924","223,537",574,95,0.3,0.5,0.3,1.6,1.9,"488,564","174,543",2.4,0.8
202003,드라마스테이지2020,tvN,수목,37,71,"20,722",66,39,0.1,0,0,0.2,0.8,"153,912","52,898",0.8,0.2
202003,간택-여인들의전쟁,TVCHOSUN,토일,637,"2,132","347,856",807,39,1,0.5,0.5,2.2,0.8,"803,698","176,716",4,0.8
202003,검사내전,JTBC,월화,788,"2,229","368,220",521,78,1.3,0.5,0.5,1.4,1.6,"689,662","252,691",3.5,1.2
202003,블랙독,tvN,월화,"1,261","5,653","1,793,352",711,99,2,1.4,2.4,2,2,"853,180","417,194",4.3,1.9
202003,낭만닥터김사부2,SBS,월화,"3,504","16,000","2,639,963","1,274",75,5.6,3.9,3.5,3.5,1.5,"3,020,091","1,411,415",15.1,6.6
202003,머니게임,tvN,수목,614,"2,172","336,319",868,87,1,0.5,0.4,2.4,1.8,"533,151","268,050",2.7,1.3
202003,더게임0시를향하여,MBC,수목,116,619,"14,586",327,9,0.2,0.2,0,0.9,0.2,0,0,0,0
202003,본대로말하라,OCN,토일,77,281,"11,872",176,10,0.1,0.1,0,0.5,0.2,0,0,0,0
202003,포레스트,KBS2,수목,121,"1,243","20,608",396,2,0.2,0.3,0,1.1,0,0,0,0,0
202004,사랑은뷰티풀인생은원더풀,KBS2,토일,634,"4,039","755,543",274,62,1.1,1,1.3,0.8,1.2,"4,401,286","1,230,601",22,5.8
202004,두번은없다,MBC,토일,37,52,32,32,0,0.1,0,0,0.1,0,0,0,0,0
202004,사랑의불시착,tvN,토일,"9,166","70,101","9,843,291","1,747",95,16.2,17.3,17.5,4.9,1.9,0,0,0,0
202004,99억의여자,KBS2,수목,390,"2,169","348,794","1,068",55,0.7,0.5,0.6,3,1.1,"1,643,093","476,928",8.2,2.2
202004,드라마스테이지2020,tvN,수목,39,84,"46,452",88,42,0.1,0,0.1,0.2,0.8,"131,804","44,825",0.7,0.2
202004,간택-여인들의전쟁,TVCHOSUN,토일,"1,100","3,822","1,060,462",433,31,1.9,0.9,1.9,1.2,0.6,"674,784","179,257",3.4,0.8
202004,검사내전,JTBC,월화,685,"2,219","306,185",570,88,1.2,0.5,0.5,1.6,1.8,"672,591","334,889",3.4,1.6
202004,블랙독,tvN,월화,"1,708","6,566","1,677,505",577,100,3,1.6,3,1.6,2,"931,058","465,644",4.7,2.2
202004,낭만닥터김사부2,SBS,월화,"3,239","14,878","2,524,621","1,262",62,5.7,3.7,4.5,3.6,1.2,"3,139,697","1,405,230",15.7,6.6
202004,머니게임,tvN,수목,317,867,"166,321",381,93,0.6,0.2,0.3,1.1,1.9,"305,093","158,504",1.5,0.7
202004,더게임0시를향하여,MBC,수목,578,"3,005","190,346","1,936",199,1,0.7,0.3,5.5,4,"618,625","335,753",3.1,1.6
202004,본대로말하라,OCN,토일,64,337,"27,136",87,8,0.1,0.1,0,0.2,0.2,0,0,0,0
202004,포레스트,KBS2,수목,112,"1,012","37,353",384,6,0.2,0.2,0.1,1.1,0.1,0,0,0,0
202004,방법,tvN,월화,38,170,"14,310",205,13,0.1,0,0,0.6,0.3,0,0,0,0
202005,사랑은뷰티풀인생은원더풀,KBS2,토일,636,"4,078","713,076",249,62,0.8,0.8,0.9,0.7,1.2,"5,149,992","1,326,528",25.8,6.2
202005,두번은없다,MBC,토일,54,627,"98,850",116,54,0.1,0.1,0.1,0.3,1,"1,783,782","407,912",8.9,1.9
202005,사랑의불시착,tvN,토일,"11,516","64,439","12,021,035","1,292",154,14.5,12.1,16,3.6,2.9,"2,951,300","2,157,570",14.8,10.1
202005,드라마스테이지2020,tvN,수목,38,44,"10,501",57,34,0,0,0,0.2,0.6,"156,977","93,083",0.8,0.4
202005,간택-여인들의전쟁,TVCHOSUN,토일,918,"3,426","923,447",383,52,1.2,0.6,1.2,1.1,1,"888,874","276,905",4.4,1.3
202005,검사내전,JTBC,월화,601,"1,461","325,496",373,75,0.8,0.3,0.4,1,1.4,"608,821","281,966",3,1.3
202005,블랙독,tvN,월화,"1,471","4,685","1,343,941",518,91,1.9,0.9,1.8,1.4,1.7,"819,707","456,779",4.1,2.1
202005,낭만닥터김사부2,SBS,월화,"4,117","20,633","3,931,095","1,431",73,5.2,3.9,5.2,4,1.4,"3,296,145","1,707,355",16.5,8
202005,머니게임,tvN,수목,293,572,"310,335",536,79,0.4,0.1,0.4,1.5,1.5,"378,982","189,194",1.9,0.9
202005,더게임0시를향하여,MBC,수목,350,"1,179","127,912",545,116,0.4,0.2,0.2,1.5,2.2,"763,124","367,831",3.8,1.7
202005,본대로말하라,OCN,토일,472,"2,953","385,370","1,073",128,0.6,0.6,0.5,3,2.4,"512,684","416,180",2.6,1.9
202005,포레스트,KBS2,수목,713,"3,325","254,092","1,928",101,0.9,0.6,0.3,5.4,1.9,"1,190,283","466,885",6,2.2
202005,방법,tvN,월화,56,172,"4,031",218,0,0.1,0,0,0.6,0,0,0,0,0
202005,하이바이마마,tvN,토일,68,199,"36,687",136,4,0.1,0,0,0.4,0.1,0,0,0,0
202006,사랑은뷰티풀인생은원더풀,KBS2,토일,715,"4,833","673,031",240,64,0.9,0.9,0.8,0.7,1.3,"5,329,573","1,373,591",26.7,6.4
202006,두번은없다,MBC,토일,115,702,"172,715",132,54,0.1,0.1,0.2,0.4,1.1,"1,932,149","364,958",9.7,1.7
202006,사랑의불시착,tvN,토일,"15,615","91,095","14,807,763","2,082",172,18.6,16.4,18.2,6,3.4,"3,115,424","2,225,566",15.6,10.4
202006,간택-여인들의전쟁,TVCHOSUN,토일,"1,245","3,563","1,253,334",384,45,1.5,0.6,1.5,1.1,0.9,"1,037,710","245,173",5.2,1.1
202006,검사내전,JTBC,월화,675,"2,420","511,151",471,68,0.8,0.4,0.6,1.4,1.4,"683,591","245,224",3.4,1.1
202006,블랙독,tvN,월화,"1,317","4,990","905,120",962,95,1.6,0.9,1.1,2.8,1.9,"855,148","477,724",4.3,2.2
202006,낭만닥터김사부2,SBS,월화,"4,788","24,118","5,300,450","1,378",79,5.7,4.3,6.5,4,1.6,"3,396,264","1,515,413",17,7.1
202006,머니게임,tvN,수목,316,620,"230,544",463,88,0.4,0.1,0.3,1.3,1.7,"367,624","162,570",1.8,0.8
202006,더게임0시를향하여,MBC,수목,308,996,"186,143",635,113,0.4,0.2,0.2,1.8,2.2,"757,985","363,142",3.8,1.7
202006,본대로말하라,OCN,토일,541,"2,371","219,573",386,86,0.6,0.4,0.3,1.1,1.7,"485,340","369,269",2.4,1.7
202006,포레스트,KBS2,수목,354,"2,381","323,901",880,57,0.4,0.4,0.4,2.6,1.1,"1,204,266","479,269",6,2.2
202006,방법,tvN,월화,92,486,"39,436",527,42,0.1,0.1,0,1.5,0.8,0,0,0,0
202006,하이바이마마,tvN,토일,89,313,"31,581",169,6,0.1,0.1,0,0.5,0.1,0,0,0,0
202006,안녕드라큘라,JTBC,월화,85,492,"26,278",137,2,0.1,0.1,0,0.4,0,0,0,0,0
202006,날씨가좋으면찾아가겠어요,JTBC,월화,103,"1,096","88,212",102,5,0.1,0.2,0.1,0.3,0.1,0,0,0,0
202007,사랑은뷰티풀인생은원더풀,KBS2,토일,429,"3,295","1,182,972",254,73,0.4,0.5,1.2,0.7,1.3,"5,371,499","1,360,128",26.9,6.4
202007,두번은없다,MBC,토일,129,580,"121,646",177,54,0.1,0.1,0.1,0.5,1,"2,257,161","423,634",11.3,2
202007,사랑의불시착,tvN,토일,"19,912","133,352","21,585,164","2,854",233,20.7,19.5,21.8,7.6,4.3,"3,840,615","2,735,533",19.2,12.8
202007,검사내전,JTBC,월화,630,"2,864","614,325",605,69,0.7,0.4,0.6,1.6,1.3,"735,790","303,937",3.7,1.4
202007,낭만닥터김사부2,SBS,월화,"4,883","22,542","4,716,596","1,042",67,5.1,3.3,4.8,2.8,1.2,"3,678,865","1,698,981",18.4,7.9
202007,머니게임,tvN,수목,330,"1,752","231,284",398,72,0.3,0.3,0.2,1.1,1.3,"368,314","188,334",1.8,0.9
202007,더게임0시를향하여,MBC,수목,226,"1,132","150,608",606,114,0.2,0.2,0.2,1.6,2.1,"750,503","326,467",3.8,1.5
202007,본대로말하라,OCN,토일,519,"1,414","193,618",294,87,0.5,0.2,0.2,0.8,1.6,"562,064","428,802",2.8,2
202007,포레스트,KBS2,수목,267,"2,493","450,067",801,56,0.3,0.4,0.5,2.1,1,"1,179,372","447,163",5.9,2.1
202007,방법,tvN,월화,"1,089","3,372","310,069",930,79,1.1,0.5,0.3,2.5,1.4,"488,259","252,719",2.4,1.2
202007,하이바이마마,tvN,토일,134,665,"50,564",270,2,0.1,0.1,0.1,0.7,0,0,0,0,0
202007,안녕드라큘라,JTBC,월화,96,770,"36,550",342,4,0.1,0.1,0,0.9,0.1,0,0,0,0
202007,날씨가좋으면찾아가겠어요,JTBC,월화,114,546,"34,631",95,2,0.1,0.1,0,0.3,0,0,0,0,0
202007,아무도모른다,SBS,월화,77,145,"11,109",243,4,0.1,0,0,0.6,0.1,0,0,0,0
202008,사랑은뷰티풀인생은원더풀,KBS2,토일,440,"3,003","1,010,788",218,66,0.6,0.5,1.4,0.6,1.3,"5,489,203","1,396,883",27.5,6.5
202008,두번은없다,MBC,토일,88,470,"95,905",133,54,0.1,0.1,0.1,0.4,1.1,"2,135,078","398,230",10.7,1.9
