프로그램명,방송시작일,채널,요일,게시글수,댓글수,동영상조회(K),뉴스,동영상수,가구시청률(%),개인시청률(%),남성시청률(%),여성시청률(%),10대시청률(%),20대시청률(%),30대시청률(%),40대시청률(%),50대시청률(%),TVVOD시청자수(K),PC실시간(K),PCVOD(K),Mobile실시간(K),MobileVOD(K)
스토브리그,2019.12.13,SBS,금,"42,064","150,748","14,407","5,394",271,12.7,6.5,5.9,7.2,3.2,3.4,4.5,10.7,11.9,434,291,386,"1,033","1,319"
사랑의불시착,2019.12.14,tvN,토일,"38,239","249,171","41,477","5,955",379,11.5,6.4,5,7.8,5.3,3.3,5.1,12.1,9.3,575,676,602,"3,208","2,647"
낭만닥터김사부2,2020.01.06,SBS,월화,"14,613","73,565","11,054","7,492",331,15.1,7.5,6.5,8.5,4.4,3,4,11.6,12.7,791,301,497,920,"1,391"
블랙독,2019.12.16,tvN,월화,"5,876","23,347","5,628","2,662",384,4.5,2,1.3,2.7,1,0.9,1.4,3.8,3.6,243,374,289,967,"1,001"
간택-여인들의전쟁,2019.12.14,TVCHOS,토일,"2,957","9,929","2,151","2,009",161,3.7,1.6,1.4,1.8,0.3,0.7,0.5,1.4,2.5,79,86,100,290,354
검사내전,2019.12.16,JTBC,월화,"2,841","8,236","1,362","2,055",311,3.4,1.5,1.3,1.8,0.4,0.8,0.8,2.3,3.1,247,146,202,333,489
사랑은뷰티풀인생은원더풀,2019.09.28,KBS2,토일,"2,380","11,709","3,190","1,123",241,24.5,11.1,8.4,13.8,2.4,4.1,4.5,8.2,15.4,189,86,158,587,435
이태원클라쓰,2020.01.31,JTBC,금,"2,292","9,549",615,"2,912",104,0.6,0.2,0.2,0.3,0,0.1,0.1,0.2,0.4,212,-,-,8,-
99억의여자,2019.12.04,KBS2,수목,"1,567","7,483","1,118","3,527",203,8.7,3.7,2.7,4.8,0.9,1.6,1.2,4.2,7.5,378,87,93,262,315
머니게임,2020.01.15,tvN,수목,"1,360","4,154",827,"3,282",307,2,1,0.8,1.2,0.5,0.4,0.6,1.8,1.7,96,93,73,323,367
싸이코패스다이어리,2019.11.20,tvN,수목,"1,299","4,494",891,727,177,2.4,1.3,0.9,1.7,1.1,0.6,1.1,2.5,1.9,102,44,64,387,373
초콜릿,2019.11.29,JTBC,금,"1,231","11,903","2,291","1,668",159,4,1.8,1.2,2.4,0.9,0.5,0.8,3,3.3,141,114,185,276,306
더게임0시를향하여,2020.01.22,MBC,수목,"1,111","4,950",336,"3,157",334,3.5,1.7,1.4,2.1,0.8,0.5,0.9,3.1,2.5,77,47,43,77,85
터치,2020.01.03,채널A,금,973,"5,661","2,357","2,846",364,0.8,0.4,0.3,0.5,0.2,0.2,0.2,0.6,0.7,46,14,60,409,584
포레스트,2020.01.29,KBS2,수목,897,"5,486",310,"2,686",109,6,2.6,1.9,3.4,0.7,1.2,1,3.9,5,40,39,15,48,40
