,배우,브랜드평판지수,작품,작품 개수
0,나인우,,"[' 철인왕후 ', ' 달이뜨는강 ']",2
1,김주현,,"[' 날아라 개천용 ', ' 부잣집 아들 ', ' 언니는 살아있다 ']",3
3,진경,,"[' 루카 : 더 비기닝 ', ' 오! 삼광빌라! ']",2
5,원진아,,"[' 선배, 그 립스틱 바르지 마요 ', ' 날 녹여주오 ', ' 라이프 ', ' 그냥 사랑하는 사이 ']",4
8,서현,,"[' 시간 ', ' 사생활 ', ' 안녕 드라큘라 ', ' 도둑놈, 도둑님 ']",4
9,안희연,,[' 엑스엑스(XX) '],1
10,나문희,,[' 나빌레라 '],1
12,진세연,,"[' 본 어게인 ', ' 간택 - 여인들의 전쟁 ', ' 아이템 ', ' 고품격 짝사랑 ', ' 대군-사랑을 그리다 ']",5
13,고수,,"[' 미씽: 그들이 있었다 ', ' 머니게임 ', ' 흉부외과:심장을 훔친 의사들 ', ' 마녀의 사랑 ']",4
14,정일우,,"[' 보쌈-운명을 훔치다 ', ' 야식남녀 ', ' 해치 ', ' 고품격 짝사랑 ']",4
16,김재영,,"[' 너를 닮은 사람 ', ' 사랑은 뷰티풀 인생은 원더풀 ', ' 시크릿 부티크 ', ' 은주의 방 ']",4
18,김요한,,[' 학교 2021 '],1
19,임시완,,"[' 트레이서 ', ' 런 온 ', ' 타인은 지옥이다 ', ' 왕은 사랑한다 ']",4
20,이수혁,,"[' 내일 ', ' 어느 날 우리 집 현관으로 멸망이 들어왔다 ', ' 본 어게인 ']",3
21,황정음,,"[' 그놈이 그놈이다 ', ' 쌍갑포차 ', ' 훈남정음 ']",3
22,손병호,,"[' 암행어사: 조선비밀수사단 ', ' 허쉬 ', ' 모범형사 ', ' 웰컴2라이프 ']",4
24,이성재,,"[' 쇼윈도:여왕의 집 ', ' 검사내전 ', ' 어비스 ', ' 이별이 떠났다 ']",4
26,송종호,,"[' 우리, 사랑했을까 ']",1
31,권상우,,"[' 날아라 개천용 ', ' 추리의 여왕 시즌2 ', ' 추리의 여왕 ']",3
33,김도훈,,"[' 목표가 생겼다 ', ' 다크홀 ']",2
34,정상훈,,"[' 바람피면 죽는다 ', ' 번외수사 ', ' 빅 포레스트 ', ' 데릴남편 오작두 ']",4
35,권율,,"[' 달리와 감자탕 ', ' 해치 ', ' 귓속말 ']",3
37,노종현,,[' 라이브온 '],1
38,로운,,"[' 내일 ', ' 연모 ', ' 선배, 그 립스틱 바르지 마요 ', ' 어쩌다 발견한 하루 ', ' 훈장 오순남 ']",5
39,조우진,,"[' 해피니스 ', ' 드라마 스테이지 ']",2
41,하준,,"[' 배드 앤 크레이지 ', ' 하이클래스 ', ' 불새 2020 ', ' 18 어게인 ', ' 미씽: 그들이 있었다 ', ' 시네마틱 드라마 SF8 ', ' 블랙독 ']",7
42,윤상현,,"[' 18 어게인 ', ' 손 꼭 잡고, 지는 석양을 바라보자 ']",2
44,최희서,,"[' 지금, 헤어지는 중입니다 ', ' 빅 포레스트 ']",2
46,최원영,,"[' 꽃 피면 달 생각하고 ', ' 너를 닮은 사람 ', ' 나의 위험한 아내 ', ' 앨리스 ', ' 쌍갑포차 ', ' KBS 드라마 스페셜 2019 ', ' 닥터 프리즈너 ', ' SKY 캐슬 ']",8
47,이연희,,"[' 시네마틱 드라마 SF8 ', ' 더 게임:0시를 향하여 ', ' 더 패키지 ', ' 다시 만난 세계 ']",4
49,신승호,,"[' 계약우정 ', ' 열여덟의 순간 ']",2
51,진영,,"[' 불가살 ', ' 경찰수업 ', ' 악마판사 ', ' 아는 건 별로 없지만 가족입니다 ', ' 화양연화 - 삶이 꽃이 되는 순간 ']",5
52,이주빈,,"[' 드라마 스테이지 2021 ', ' 선배, 그 립스틱 바르지 마요 ', ' 안녕 드라큘라 ']",3
53,이서진,,"[' 타임즈 ', ' 트랩 ']",2
54,이혜리,,[' 청일전자 미쓰리 '],1
57,정지소,,"[' 이미테이션 ', ' 방법 ']",2
58,이진욱,,"[' 불가살 ', ' 보이스 시즌3 ', ' 보이스 시즌2 ', ' 리턴 ']",4
59,혜리,,"[' 꽃 피면 달 생각하고 ', ' 간 떨어지는 동거 ', ' 청일전자 미쓰리 ', ' 투깝스 ']",4
60,전지현,,[' 지리산 '],1
63,손호준,,"[' 우리, 사랑했을까 ', ' 눈이 부시게 ', ' 내 뒤에 테리우스 ', ' 고백부부 ', ' 드라마스페셜-만나게해,주오 ']",5
66,유다인,,[' 출사표 '],1
68,신하균,,"[' 괴물 ', ' 영혼수선공 ', ' 나쁜형사 ']",3
69,안보현,,"[' 군검사 도베르만 ', ' 유미의 세포들 ', ' 카이로스 ', ' 그녀의 사생활 ']",4
70,위하준,,"[' 배드 앤 크레이지 ', ' 18 어게인 ']",2
71,배인혁,,"[' 멀리서 보면 푸른 봄 ', ' 간 떨어지는 동거 ', ' 나를 사랑한 스파이 ', ' 엑스엑스(XX) ']",4
72,수영,,"[' 목표가 생겼다 ', ' 아이를 찾습니다 ', ' 런 온 ', ' 본 대로 말하라 ', ' 슬플 때 사랑한다 ']",5
73,허준호,,"[' 언더커버 ', ' 미씽: 그들이 있었다 ', ' 60일, 지정생존자 ', ' 이리와 안아줘 ', ' 군주-가면의 주인 ']",5
75,윤세아,,"[' 설강화 : snowdrop ', ' 더 로드 : 1의 비극 ', ' KBS 드라마 스페셜 2020 ', ' 비밀의 숲 2 ', ' 날 녹여주오 ', ' SKY 캐슬 ']",6
76,김성철,,"[' 그 해 우리는 ', ' 브람스를 좋아하세요? ', ' 바람이 분다 ', ' 투 제니(TO.JENNY) ', ' 슬기로운 감빵생활 ']",5
77,이신영,,[' 계약우정 '],1
78,라미란,,"[' 블랙독 ', ' 막돼먹은 영애씨 시즌17 ', ' 부암동 복수자들 ']",3
79,하석진,,"[' 내가 가장 예뻤을 때 ', ' 당신의 하우스헬퍼 ']",2
80,김환희,,"[' 목표가 생겼다 ', ' 날씨가 좋으면 찾아가겠어요 ']",2
82,추자현,,"[' 아는 건 별로 없지만 가족입니다 ', ' 아름다운 세상 ']",2
